"standardized_name"	"raw_name"
"d$previous_crop"	"d$previous_crop"	c("d$PCrop1", "d$USE_OF_FIELD_SPECIFY_CROP")
"d$irrigated"	"d$irrigated"	c("d$Water_regime", "d$IRR", "d$IRRIGATED")
"d$Zn_fertilizer"	"d$Zn_fertilizer"	d$treatment
"d$S_fertilizer"	"d$S_fertilizer"	c("d$treatment", "d$sub_treatment_fert")
"d$intercrops"	"d$intercrops"	d$CS
"d$OM_type"	"d$OM_type"	character(0)
"d$main_treatment"	"d$main_treatment"	c("d$sub_treatment_inoc", "d$sub_treatment_fert")
"d$sub_treatment_fert"	"d$sub_treatment_fert"	character(0)
"d$sub_treatment_inoc"	"d$sub_treatment_inoc"	character(0)
"d$biomass_roots"	"d$biomass_roots"	d$root_dry_weight_roots_no_nodules
"d$biomass_total"	"d$biomass_total"	c("d$above_ground_dry_biomass", "d$biomass_roots", "d$nodule_dry_weight", "d$root_dry_weight_roots_no_nodules", "d$above_ground_fresh_biomass", "d$area_biomass_sampling", "d$calc_weight_a_ground_biomass_kg", "d$BIOMASS")
"d$inoculated"	"d$inoculated"	c("d$main_treatment", "d$sub_treatment_inoc", "d$experiment_id")
"d$experiment_id"	"d$experiment_id"	character(0)
"d$replication_no"	"d$replication_no"	character(0)
"d$planting_date_yyyy"	"d$planting_date_yyyy"	c("d$planting_date_mm", "d$planting_date_dd")
"d$root_dry_weight_roots_no_nodules"	"d$root_dry_weight_roots_no_nodules"	character(0)
"d$above_ground_dry_biomass"	"d$above_ground_dry_biomass"	c("d$root_dry_weight_roots_no_nodules", "d$nodule_dry_weight")
"d$grain_yield_ha_calc"	"d$grain_yield_ha_calc"	character(0)
"d$nodule_dry_weight"	"d$nodule_dry_weight"	character(0)
"d$treatments"	"d$treatments"	c("d$main_treatment", "d$sub_treatment_inoc")
"d$planting_date"	"d$planting_date"	c("d$planting_date_yyyy", "d$planting_date_mm", "d$planting_date_dd")
"d$harvest_date"	"d$harvest_date"	c("d$date_harvest_yyyy", "d$date_harvest_mm", "d$date_harvest_dd")
"d$Team"	"d$Team"	character(0)
"d$variety_type"	"d$variety_type"	character(0)
"d$exp"	"d$exp"	character(0)
"d$soil_P_total"	"d$soil_P_total"	character(0)
"d$soil_N"	"d$soil_N"	character(0)
"d$soil_K"	"d$soil_K"	character(0)
"d$soil_clay"	"d$soil_clay"	character(0)
"d$rain"	"d$rain"	character(0)
"d$soil_P_available"	"d$soil_P_available"	character(0)
"d$uncertainty"	"d$uncertainty"	character(0)
"d$uncertainty_type"	"d$uncertainty_type"	character(0)
"d$variety_code"	"d$variety_code"	c("d$Genotype", "d$Gen_name")
"d$trial_type"	"d$trial_type"	character(0)
"d$N"	"d$N"	c("d$P", "d$K", "d$S", "d$Zn")
"d$P"	"d$P"	character(0)
"d$K"	"d$K"	character(0)
"d$Other_Nutrient"	"d$Other_Nutrient"	character(0)
"d$Zn"	"d$Zn"	c("d$Other_Nutrient", "d$Nutrientamount")
"d$S"	"d$S"	c("d$Other_Nutrient", "d$Nutrientamount")
"d$Nutrientamount"	"d$Nutrientamount"	character(0)
"d$response"	"d$response"	character(0)
"d$Absolute_Ctrl_Yld"	"d$Absolute_Ctrl_Yld"	character(0)
